process,category,n,weight_nominal:sumw,weight_nominal:sumw2
total_pred_prefit,ttH_1t1b_MET_200_300,248.90264892578125,248.90264892578125,532.3834375
total_pred_prefit,ttH_1t1b_MET_300_400,200.3264923095703,200.3264923095703,167.8398828125
total_pred_prefit,ttH_1t1b_MET_400_2000,171.5100555419922,171.5100555419922,166.65230468750005
total_pred_prefit,ttH_1t2b_MET_200_300,328.9905090332031,328.9905090332031,856.16359375
total_pred_prefit,ttH_1t2b_MET_300_400,261.46530151367193,261.46530151367193,382.7971484375
total_pred_prefit,ttH_1t2b_MET_400_600,176.9329071044922,176.9329071044922,219.11205078125
total_pred_prefit,ttH_1t2b_MET_600_2000,21.58847045898437,21.58847045898437,7.133665771484375
total_pred_prefit,ttH_1w1b_MET_200_300,1193.0435791015625,1193.0435791015625,8815.090625
total_pred_prefit,ttH_1w1b_MET_300_400,403.93157958984375,403.93157958984375,1022.84296875
total_pred_prefit,ttH_1w1b_MET_400_2000,143.36219787597656,143.36219787597656,182.53251953125
total_pred_prefit,ttH_1w2b_MET_200_300,1035.9388427734377,1035.9388427734377,8360.145625
total_pred_prefit,ttH_1w2b_MET_300_400,327.18475341796875,327.18475341796875,890.8650781250003
total_pred_prefit,ttH_1w2b_MET_400_2000,93.86359405517578,93.86359405517578,108.804736328125
total_pred_prefit,ttH_2Boosted_MET_200_300,111.48416900634766,111.48416900634766,97.502373046875
total_pred_prefit,ttH_2Boosted_MET_300_400,74.9186782836914,74.9186782836914,37.65061279296875
total_pred_prefit,ttH_2Boosted_MET_400_2000,51.09556198120117,51.09556198120117,21.754738769531244
total_pred_prefit,ttH_5j1b_MET_200_300,3299.93896484375,3299.93896484375,27069.4625
total_pred_prefit,ttH_5j1b_MET_300_400,837.766357421875,837.766357421875,1564.7889062500005
total_pred_prefit,ttH_5j1b_MET_400_2000,275.42269897460943,275.42269897460943,539.5603124999999
total_pred_prefit,ttH_5j2b_MET_200_300,1052.7392578125,1052.7392578125,4606.2671875000015
total_pred_prefit,ttH_5j2b_MET_300_400,204.97146606445312,204.97146606445312,247.24416015625
total_pred_prefit,ttH_5j2b_MET_400_2000,56.39115524291992,56.39115524291992,24.95888916015625
total_pred_prefit,ttH_6j1b_MET_200_300,1725.6510009765625,1725.6510009765625,9161.053125
total_pred_prefit,ttH_6j1b_MET_300_400,521.17724609375,521.17724609375,1274.0495312499995
total_pred_prefit,ttH_6j1b_MET_400_2000,208.4093780517578,208.4093780517578,431.324453125
total_pred_prefit,ttH_6j2b_MET_200_300,710.971435546875,710.971435546875,2621.445000000001
total_pred_prefit,ttH_6j2b_MET_300_400,158.61172485351562,158.61172485351562,182.21283203125
total_pred_prefit,ttH_6j2b_MET_400_2000,66.43854522705078,66.43854522705078,52.7514453125
data,ttH_1w1b_MET_400_2000,106.0,106.0,106.0
VBF,ttH_1w1b_MET_400_2000,4.485301297041389e-10,4.485301297041389e-10,0.0
VH,ttH_1w1b_MET_400_2000,4.485301297041389e-10,4.485301297041389e-10,0.0
ggF,ttH_1w1b_MET_400_2000,4.485301297041389e-10,4.485301297041389e-10,0.0
Ewk,ttH_1w1b_MET_400_2000,104.65907287597656,104.65907287597656,0.0
ttH,ttH_1w1b_MET_400_2000,0.142252579331398,0.142252579331398,0.0
data,ttH_1w2b_MET_200_300,839.0,839.0,839.0
VBF,ttH_1w2b_MET_200_300,4.485301297041389e-10,4.485301297041389e-10,0.0
VH,ttH_1w2b_MET_200_300,4.485301297041389e-10,4.485301297041389e-10,0.0
ggF,ttH_1w2b_MET_200_300,4.485301297041389e-10,4.485301297041389e-10,0.0
Ewk,ttH_1w2b_MET_200_300,865.858642578125,865.858642578125,0.0
ttH,ttH_1w2b_MET_200_300,0.5794291496276855,0.5794291496276855,0.0
data,ttH_1w2b_MET_300_400,248.0,248.0,248.0
VBF,ttH_1w2b_MET_300_400,4.485301297041389e-10,4.485301297041389e-10,0.0
VH,ttH_1w2b_MET_300_400,4.485301297041389e-10,4.485301297041389e-10,0.0
ggF,ttH_1w2b_MET_300_400,4.485301297041389e-10,4.485301297041389e-10,0.0
Ewk,ttH_1w2b_MET_300_400,255.5485992431641,255.5485992431641,0.0
ttH,ttH_1w2b_MET_300_400,0.3021640479564667,0.3021640479564667,0.0
